Model,Threshold,Accuracy,Sensitivity,Specificity,F1
PR × Model (WSI),0.0,0.456,1.0,0.0,0.6263736263736264
PR × Model (WSI),0.1,0.65,0.8070175438596491,0.5183823529411765,0.6777163904235728
PR × Model (WSI),0.2,0.714,0.6798245614035088,0.7426470588235294,0.6843267108167771
PR × Model (WSI),0.3,0.744,0.5701754385964912,0.8897058823529411,0.6701030927835051
PR × Model (WSI),0.4,0.71,0.4342105263157895,0.9411764705882353,0.577259475218659
PR × Model (WSI),0.5,0.688,0.34210526315789475,0.9779411764705882,0.5
PR × Model (WSI),0.6,0.648,0.2412280701754386,0.9889705882352942,0.38461538461538464
PR × Model (WSI),0.7,0.618,0.16666666666666666,0.9963235294117647,0.2846441947565543
PR × Model (WSI),0.8,0.596,0.11403508771929824,1.0,0.2047244094488189
PR × Model (WSI),0.9,0.574,0.06578947368421052,1.0,0.12345679012345678
PR × Model (WSI),1.0,0.544,0.0,1.0,0.0
PRGAT (Baseline),0.0,0.456,1.0,0.0,0.6263736263736264
PRGAT (Baseline),0.1,0.48,1.0,0.04411764705882353,0.6368715083798883
PRGAT (Baseline),0.2,0.556,0.9824561403508771,0.19852941176470587,0.6686567164179105
PRGAT (Baseline),0.3,0.672,0.956140350877193,0.4338235294117647,0.7266666666666667
PRGAT (Baseline),0.4,0.77,0.9342105263157895,0.6323529411764706,0.7874306839186691
PRGAT (Baseline),0.5,0.822,0.8421052631578947,0.8051470588235294,0.8118393234672304
PRGAT (Baseline),0.6,0.814,0.6754385964912281,0.9301470588235294,0.7680798004987531
PRGAT (Baseline),0.7,0.752,0.4780701754385965,0.9816176470588235,0.6374269005847953
PRGAT (Baseline),0.8,0.646,0.22807017543859648,0.9963235294117647,0.3701067615658363
PRGAT (Baseline),0.9,0.56,0.039473684210526314,0.9963235294117647,0.07563025210084033
PRGAT (Baseline),1.0,0.544,0.0,1.0,0.0
GCN (Baseline),0.0,0.456,1.0,0.0,0.6263736263736264
GCN (Baseline),0.1,0.502,1.0,0.08455882352941177,0.6468085106382979
GCN (Baseline),0.2,0.576,0.9912280701754386,0.22794117647058823,0.6807228915662651
GCN (Baseline),0.3,0.684,0.9605263157894737,0.4522058823529412,0.7348993288590604
GCN (Baseline),0.4,0.792,0.9122807017543859,0.6911764705882353,0.8
GCN (Baseline),0.5,0.822,0.8289473684210527,0.8161764705882353,0.8094218415417559
GCN (Baseline),0.6,0.792,0.6359649122807017,0.9227941176470589,0.7360406091370558
GCN (Baseline),0.7,0.736,0.4298245614035088,0.9926470588235294,0.5975609756097561
GCN (Baseline),0.8,0.634,0.19736842105263158,1.0,0.32967032967032966
GCN (Baseline),0.9,0.562,0.039473684210526314,1.0,0.0759493670886076
GCN (Baseline),1.0,0.544,0.0,1.0,0.0
